,valor_divida_mil,tempo_inadimplencia_dias,porte_cliente_Grande,porte_cliente_Médio,porte_cliente_Pequeno,ramo_atuacao_cliente_Cooperativa,ramo_atuacao_cliente_Distribuidor,ramo_atuacao_cliente_Indústria,ramo_atuacao_cliente_Produtor,score_risco_interno_A,score_risco_interno_B,score_risco_interno_C,score_risco_interno_D,score_risco_interno_F,regiao_Centro-Oeste,regiao_Nordeste,regiao_Norte,regiao_Sudeste,regiao_Sul
0,-0.25953324581999204,0.7452839325896461,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
1,-0.15654977275071824,0.07528099763878404,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
2,0.11358226368196013,1.5725077728538872,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
3,0.5595945048477732,0.5324310146269173,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
4,-0.33073354430344826,0.3703725429962034,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
5,0.44421210103348274,0.7984971620803283,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
6,-0.3384423362555814,-0.7978997226401372,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False
7,-0.2436666060738539,-0.3165618740653302,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
8,-0.2114593231929352,1.3354670233044847,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
9,-0.31027655595150916,-0.6551915162787623,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
10,-0.3187587218535327,0.406654290376214,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
11,-0.3467249217834396,0.31715931350552123,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
12,-0.3379932804137095,-0.11580287189593835,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
13,-0.07090484468705138,0.3195780966641886,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
14,0.37203884822597083,1.3257918906698154,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
15,-0.3390909724716185,-0.490714261489381,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
16,-0.3354236830963318,1.219365431688451,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
17,-0.29747846445816195,0.04867438289344295,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
18,0.04465219195463374,0.471961435660233,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
19,0.503761895175042,0.8517103915710105,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
20,0.06585760670969253,0.4961492672469068,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
21,-0.2742522984146799,1.1661522021977688,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
22,-0.12833409735310472,-1.2550497396282705,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
23,-0.3399391890618208,1.6087895202338978,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
24,-0.26232737105830567,-0.452013730950703,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
25,-0.3312075476920907,0.20105772188948737,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
26,0.6434681570907235,1.3910990359538344,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
27,-0.30975265746932534,-0.38186901934934925,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
28,-0.17401305549017843,-0.6043970699467475,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
29,0.06398654070189323,1.5749265560125547,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False
30,-0.32152789954507566,-0.5584401899320675,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
31,-0.32833857981346515,1.23871569695779,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
32,-0.19207507935213441,-0.8777195668761605,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
33,-0.28106297868306934,-1.4606463081149972,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
34,-0.320704630501644,0.7694717641763198,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
35,-0.3074075880728836,-0.8946510489868321,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
36,-0.32417233950276536,1.2242029980057858,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
37,-0.10408508189202573,0.7815656799696566,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
38,-0.3452530165239709,1.1443831537697624,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
